country,city,s1_scene_file,s2_scene_file,s1_datetime_utc,s2_datetime_utc,pair_gap_days,orbit,polarizations,s1_product_id,s2_product_id
Turkiye,Konya,Turkiye_Konya_S1_2023-01-20_2023-01-20_03_59_01_DESCENDING_VVplusVH_BuiltUpMain.tif,Turkiye_Konya_S2_2023-01-21_2023-01-21_08_49_32_RGB_BuiltUpMain.tif,2023-01-20 03:59:01,2023-01-21 08:49:32,1.2017,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230120T035901_20230120T035926_046862_059E7E_5340,20230121T084159_20230121T084309_T36SVH
Turkiye,Malatya,Turkiye_Malatya_S1_2023-02-10_2023-02-10_03_34_27_DESCENDING_VVplusVH_BuiltUpMain.tif,Turkiye_Malatya_S2_2023-01-10_2023-01-10_08_29_21_RGB_BuiltUpMain.tif,2023-02-10 03:34:27,2023-01-10 08:29:21,30.7952,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230210T033427_20230210T033452_047168_05A8CD_5809,20230110T082321_20230110T082758_T37SDC
Turkiye,Manisa,Turkiye_Manisa_S1_2023-02-18_2023-02-18_04_07_09_DESCENDING_VVplusVH_BuiltUpMain.tif,Turkiye_Manisa_S2_2023-02-16_2023-02-16_09_09_40_RGB_BuiltUpMain.tif,2023-02-18 04:07:09,2023-02-16 09:09:40,1.7899,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230218T040709_20230218T040734_047285_05ACC0_0E38,20230216T085939_20230216T090814_T35SNC
Turkiye,Mardin,Turkiye_Mardin_S1_2023-02-12_2023-02-12_03_18_03_DESCENDING_VVplusVH_BuiltUpMain.tif,Turkiye_Mardin_S2_2023-02-11_2023-02-11_08_19_32_RGB_BuiltUpMain.tif,2023-02-12 03:18:03,2023-02-11 08:19:32,0.7906,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230212T031803_20230212T031828_047197_05A9B3_04C3,20230211T081009_20230211T081235_T37SFB
Turkiye,Mersin,Turkiye_Mersin_S1_2023-01-22_2023-01-22_03_43_13_DESCENDING_VVplusVH_CentFallback.tif,Turkiye_Mersin_S2_2022-12-04_2022-12-04_08_40_04_RGB_CentFallback.tif,2023-01-22 03:43:13,2022-12-04 08:40:04,48.7939,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230122T034313_20230122T034338_046891_059F84_4162,20221204T083331_20221204T083327_T36SWF
Turkiye,Mugla,Turkiye_Mugla_S1_2023-03-19_2023-03-19_04_15_41_DESCENDING_VVplusVH_BuiltUpMain.tif,Turkiye_Mugla_S2_2023-03-25_2023-03-25_09_00_14_RGB_BuiltUpMain.tif,2023-03-19 04:15:41,2023-03-25 09:00:14,6.1976,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230319T041541_20230319T041606_047708_05BB15_4BA4,20230325T084619_20230325T084915_T35SNA;20230325T084619_20230325T084915_T35SPA
Turkiye,Ordu,Turkiye_Ordu_S1_2023-01-10_2023-01-10_03_41_58_DESCENDING_VVplusVH_BuiltUpMain.tif,Turkiye_Ordu_S2_2023-01-10_2023-01-10_08_28_42_RGB_BuiltUpMain.tif,2023-01-10 03:41:58,2023-01-10 08:28:42,0.1991,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230110T034158_20230110T034223_046716_05999C_88C9,20230110T082321_20230110T082758_T37TCF
Turkiye,Sakarya,Turkiye_Sakarya_S1_2023-03-14_2023-03-14_04_06_44_DESCENDING_VVplusVH_BuiltUpMain.tif,Turkiye_Sakarya_S2_2023-03-15_2023-03-15_08_59_00_RGB_BuiltUpMain.tif,2023-03-14 04:06:44,2023-03-15 08:59:00,1.203,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230314T040644_20230314T040709_047635_05B898_7782,20230315T084719_20230315T085406_T36TTL
Turkiye,Sanliurfa,Turkiye_Sanliurfa_S1_2022-12-19_2022-12-19_03_26_20_DESCENDING_VVplusVH_BuiltUpMain.tif,Turkiye_Sanliurfa_S2_2022-12-18_2022-12-18_08_19_40_RGB_BuiltUpMain.tif,2022-12-19 03:26:20,2022-12-18 08:19:40,0.7963,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20221219T032620_20221219T032645_046395_058ECD_8732,20221218T081341_20221218T081339_T37SDB
Turkiye,Tekirdag,Turkiye_Tekirdag_S1_2023-01-30_2023-01-30_04_14_52_DESCENDING_VVplusVH_BuiltUpMain.tif,Turkiye_Tekirdag_S2_2023-02-16_2023-02-16_09_08_57_RGB_BuiltUpMain.tif,2023-01-30 04:14:52,2023-02-16 09:08:57,17.2042,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230130T041452_20230130T041517_047008_05A375_23C7,20230216T085939_20230216T090814_T35TNF
Turkiye,Trabzon,Turkiye_Trabzon_S1_2023-01-24_2023-01-24_03_25_28_DESCENDING_VVplusVH_BuiltUpMain.tif,Turkiye_Trabzon_S2_2023-01-22_2023-01-22_08_18_37_RGB_BuiltUpMain.tif,2023-01-24 03:25:28,2023-01-22 08:18:37,1.7964,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230124T032528_20230124T032553_046920_05A084_EF46,20230122T081139_20230122T081235_T37TEF
